review,rating
"Accès un peu difficile avec beaucoup de marches. Vues magnifiques sur la terrasse. Présentation historique intéressante dans les salles intérieures.Par contre accueil très moyen de la personne qui contrôle les billets au bas des marches : impoli, bougon, irrespectueux. Des touristes anglais après nous en ont fait les frais. ",5.0
Aberrant ma fille étudiante à Paris est refusée  pour monter à l Arc de Triomphe elle était avec 7 amis pour monter à l Arc de Triomphe le jour de son anniversaire mais ils étaient trop. !!! On leurs a demandé de refaire la queue deux par deux. C’est une blague. Et en arrivant ils ont quand même été refusé et la personne a demandé à la secu de les sortir de la queue car elle n’était pas contente. C’est une histoire incroyable ,1.0
"Félicitations aux agents d'accueil très courtois, aimables et souriants. De visite avec notre petite fille et mon épouse handicapée, nous avons été parfaitement bien accueillis et guidés. Sur le parvis de l'arc de triomphe tout en haut stationne un guide très aimable et qui renseigne très bien (un monsieur à lunettes !) Son binôme une demoiselle qui vient de Bordeaux est également très souriante et avenante. FELICITATKON à toute l'équipe.",5.0
J’ai réservé mes billets très en avance et arrivée devant l’arc Il est exceptionnellement fermé On ne m’a même pas prévenu  Jai fais une réclamation pour demander remboursement J’attends la suite,1.0
"visite incontournable si vous êtes de passage  à Paris.  Penser à réserver avant la visite, pour eviter l'attente pour la billetterie.Très belle vue sur tout Paris en haut. Attention, il y a pas mal de marches à monter et à descendre ",4.0
L'accès par un tunnel sous le rond point est très sécurisé... Le coupe-file est indispensable pour gagner du temps... La vue plongeante sur les champs Élysée est superbe. Le tombeau du soldat inconnu est émouvant...,5.0
"Nous y venons à chaque passage sur Paris. L'accès est proposé à un prix raisonnable et la vue sur Paris est absolument splendide. Le seul bémol est le monde la haut, trop de personnes en même temps ce qui enlève un peu de plaisirs à la visite.",4.0
"Symbole de Paris et de la France, oeuvre de la grande époque napoléonienne. Hommage permanent aux victoires de la France et de la liberté. Logiquement difficile d'accès. ",5.0
"L'accès au monument se réalise en empruntant le Passage du Souvenir, en haut de l'avenue des Champs-Élysées ou de l'avenue de la Grande-Armée.En arrivant sous l’arc de Triomphe, vous verrez la flamme et la tombe du soldat inconnu.Sur les murs de l’arc, se trouvent 4 « groupes » de sculptures : le départ des volontaires, le triomphe de Napoléon, la résistance et la paix.Après avoir monté 284 marches dans un escalier en colimaçon et être arrivé en haut de l’arc de triomphe, vous découvrirez un magnifique panorama de Paris et de La Défense. Une autre vue de la place de l’étoile. Lieu historique incontournable à Paris !",5.0
"Après avoir été au 2ème étage de la tour Eiffel, direction l'Arc de Triomphe.L'accessibilité pourrait être plus simple, il manque un ou 2 panneaux pour se repérer en 2 secondes et ne pas louper l'entrée du tunnel.L'Arc en lui-même, rien à dire, le monument est vraiment beau. Le billet visite du musée et accès à la terrasse est surfait, il devrait s'appeler ""accès terrasse"", le musée est microscopique... déçus.La vue de la terrasse est belle, attention les jours de vents, les vêtements volent😁",4.0
"A ne pas louper lors d un séjour à Paris La vue est magnifique avec le sacré cœur, le Louvre, le panthéon, la Tour Eiffel, les champs Élysée et La Défense.Il faut être sportif ou bien Chaussé car il y a de nombreuses marches.La vue se mérite Prendre ses billets en avance pour éviter la queueIl y a un passage souterrain pour y accéder côté La Défense,  a l arrière de l arc quand on est aux champs",5.0
