review,rating
Nous avons pris un des nombreux bateau qui font le tour sur la Seine. Prévoyez une petite laine si la ballade et en fin dejournée.,5.0
"en cette fin de journée un balade sympa en bord de seine, il y a plein de petits lieux sympa opour boire un verre et se restaurer",5.0
"Toujours aussi agréable , un moment de décontraction en bord de seine , boire un verre en terrasse, faire une petite croisière, tout est bien en bord de Seine ",5.0
"Toujours aussi magique, les enfants ne se lassent pas d'y aller ! Je recommande aux familles pour passer des moments agréable en famille et surtout faire plaisir aux enfants ",5.0
"Partie de la place de la Concorde pour rejoindre la Tour Eiffel en longeant les quais de Seine, et retour en batobus, à recommander sans modération!",5.0
"une belle promenade sur la seine , un autre point de vue de la capitale , en plus quand le soleil est de la parti , a ne pas manquer",4.0
Intéressant mais sans plus c est juste une Hala de sur la Seine avec des écouteurs vu qu il y a a toutes les langues,3.0
"Pour visiter Paris, rien de mieux qu'une balade sur la Seine, vous pouvez choisir une balade commentée. On peut découvrir Paris d'une autre manière en passant sous les ponts et y retourner après à pied.",5.0
Paris a la très grande chance d'être traversé par ce fleuve qui attire tant de nombreux touristes chaque année et qui fait le régal des parisiens !Le parcours en bateau permet d'en apprécier tout particulièrement les ponts dont l'architecture variée est remarquable.,5.0
Plus ce que c’étaitLes rats sont partoutTrop de vendeur à la sauvette D’autre endroit sur Paris sont beaucoup mieux...,2.0
"Nous avons découvert une solution idéale pour visiter Paris depuis la Seine : en prenant le BatoBusOn peut descendre et remonter à n'importe quel des 9 arrêts pendant 24 heures pour le même prix que les autres compagnies de bateaux sur la SeineMontés près de la Concorde, puis Tour Eiffel, puis Notre Dame, puis Le LouvreSi l'on était restés à Paris le lendemain, nous serions revenus pour visiter d'autres monuments à d'autres arrêts ",4.0
Balade en bateau Mouche avec un angle nouveau sur les monuments de Paris. Superbe moyen de découverte de Paris.,5.0
Le bateau bus est idéal pour se transporter du long de la Seine. Un moyen de transport économique qui sauve des pas et qui est vraiment un incoutournable pour visiter.,5.0
décue par le manque de vue sur les momuments les plus connus. Les enfants voulaient vite que cela finissent.,3.0
Visite commentée d'une heure vraiment très sympa. Une façon de visiter Paris et ses monuments au calme,4.0
La promenade le long des quais de la Seine et le tour en bateau-mouche sont des incontournables... choisissez en début de soirée pour profiter des illuminations.On n'a pas testé la croisière-repas.,4.0
Faire un tour de bateau mouche sur la Seine et voir Paris autrement. Beaucoup de compagnies de bateaux proposent des croisières commentées d'une heure à 1h30 pour environ 15€ pour les adultes. La plupart de ces bateaux se prennent sur les quais aux pieds de la tour Eiffel. Penser à prendre vos billets en ligne pour éviter les queues d'attente,4.0
Balade sur le Jeanne moreau le 26/03/2022 de nuit magnifique. Par contre aucun commentaire sur la visite sauf pour nous dire que l'on ralenti pour laisser passer un bateau. Très déçus.,1.0
"On ne peut pas aller à Paris sans voir la Seine. Ce fleuve donne une âme à la ville. Les quais sont agréables pour flâner. De nombreux (beaux) ponts traversent ça et là les deux rives du fleuve et on peut même faire un tour de bâteau. Depuis les bord de la Seine, on aura la vue sur de magnifiques bâtiment, y compris la tour Eiffel.",5.0
"Profitez de la Seine de diverses manières, vous pourrez ainsi en apprécier tous ses aspects et sa diversité :L'incontournable ballade en bateaux-mouches !!!  Attention, choisissez bien la compagnie, car toute ne font pas le même trajet.  Je vous conseille la fin du jour comme cela vous verrez les monuments de bord de Seine s'illuminer au fur et à mesure. C'est magnifique, magique, romantique...Le Vélo  sur les bords de Seine : sympa mais attention aux chiens en laisse....A pied : Par exemple depuis la Gare d'Austerlitz jusqu'à Notre-Dame : Vous ne le regretterez pas, vous verrez Notre-Dame apparaitre petit à petit.  Cela en serait presque une promenade bucolique.Sans oublier d'admirer la Seine depuis les divers ponts qui la traversent.",4.0
"Que ce soit une balade sur les quais de la seine ou en bateaux mouches de nuit, c'est un incontournable à faire ! On voit Paris sous un autre angle et tout est illuminés le soir. Pour les commentaires il ne faut pas s'attendre à ce qu'ils rentre dans le détail, sur certains bateaux se sont des enregistrements en 5 langues. ",4.0
"Fleuve majestueux qui serpente au cœur de la ville, il est particulièrement agréable de se promener le long des quais.",5.0
Vive Paris ! Ce week-end fût étonnamment particulièrement calme et peu circulant. Je ne vais pas en rajouter juste pour atteindre les 100 caractères !,5.0
"La Seine est plus propre quand les gens sont chez eux, isolés, il n'y a pas d'alcoolos qui jettent leurs bouteilles partout et pas de vieux avec leurs chiens qui laissent de m...de derrière.  Vive la Quarantaine! Vive La Seine!",5.0
c'est joli il y a de l'eau mais elle est un peu sale et froide.. pas pratique pour nager J'espere que ça sera un mieux pour les JO ,3.0
"La Seine traverse Paris d'est en ouest et sépare la ville en deux parties, nord et sud. Des promenades sont aménagées sur presque toute la longueur. C'est aussi une autre façon de découvrir Paris, avec une vue splendide sur divers monuments ou édifices connus, comme la Tour Eiffel, le Trocadero ou le musée du Louvre. C'est également l'occasion de passer sous les nombreux ponts de Paris dont le célebre Pont Alexandre III. En été, la ville organise et aménage des espaces pour les résidents  et autres personnes qui ne peuvent se permettre de partir à la mer, cela s'appelle Paris Plage, où l'impression de se retrouver au bord de la mer en pleine ville, très belle initiative. Les bateaux mouches donnent l'occasion de naviguer sur le fleuve à prix correct.Bref, la Seine est toujours animée.",4.0
la promenade est toujours plaisante et les commentaires sont suffisants.il faisait beau et l'heure passée a été géniale,5.0
"Petite promenade le long de la seine, par ce mois de septembre ensoleillé...Très agréable et beaucoup de parisiens qui flânent et prennent le soleil.",3.0
"Nous avons apprécié ce moment , voir Paris sur la Seine c'est magnifique, le seul regret c'est que l'on a pas pu télécharger l'application pour avoir la visite guidée, donc nous sommes restés un peu sur notre fin",4.0
"c'est merveilleux de visiter Paris, vue de la Seine, les bâtiments y sont tellement exceptionnels, que les redécouvri de ce point de vue est juste génial ",5.0
Il est maintenant possible de longer le Seine à pied ou en vélo sur des kilomètres. Parcours très agréable où l'on découvre de nombreuses péniches sédentaires habitées.,4.0
Une superbe journée ensoleillée belle promenade sur la Seine avec de magnifiques monuments une étape incontournable de la capitale. ,5.0
Le long de la Seine pour se reposer après une longue marche des peintres tout le long de la Seine un moment inoubliable,5.0
Pas déçus par la ballade dur la Seine.  Mais la notion de croisière commentée est superflue.  On ne sait pas quels monuments  on suit le long de notre promenade....,3.0
Toujours agréable de voir les principaux ponts et monuments de Paris. Le temps était mitigé mais cela n'enlève rien au charme de la balade.,5.0
Une autre vision de Paris..nous avons pris le bus touristique Open et apres cela le FLY VIEW ( survol virtuel de la capitale) mais le bateau vous offre une vision totalement différente de cette magnifique ville qu est Paris..avec en prime la chance d être pratiquement seuls sur le bateau (aout),4.0
"Cette ballade d'1 heure sur la Seine permet de voir sous un nouvel angle l'unique architecture de Paris. Nous l'avons faite le dernier jour, avant notre départ, et avons apprécié le fait de se laisser porter, lentement, sans les bruits de la ville, tout en admirant la beauté des lieux.",4.0
C'est magnifique ça permet de voir la beauté de Paris tout en ayant un esprit de liberté et bien être avec un Bonheur parfait,5.0
"Très belle idée de balade au cœur de la capitale française ! À partir des quais de Seine, il est possible de voir une bonne partie des monuments principaux de Paris... ",5.0
"Les bords de la Seine sont à faire absolument à Paris.Tout y est centre d'intérêt.Cette fois-ci, j'ai longé les quais jusqu'à Notre Dame, en passant devant quelques bouquinistes qui rangeaient leur fonds de commerce.C'était un peu vide, pas de touristes étrangers, pas trop de parisiens, bref en toute tranquillité.Des jeunes cuistos connus grâce à la TV font le buzz sur une péniche en vendant des frites à 130° !!La vie parisienne au fil de l'eau quoi !",4.0
"La Seine, représente bien le peuple Français....sale.Aucune grâce...je déconseille fortement !Ne rime pas avec le mot amour et romantique...",2.0
je conseille de faire un tour pendant le soir cest beaucoup mieux j trouve ya des bons restaurants aussi pres de la seine ,5.0
"Ballade sur le bord de la Seine, se faire plaisir en allant boire un verre et manger sur une des péniches le tout en musique ",4.0
Visite incontournable d un ballade en amoureux sur la Seine avec la découverte de tous ses ponts et monuments...,5.0
La seine était en crue donc la ballade en ce dimanche dernier fut faite sur les ponts avec 12 km de marche en partant de la concorde jusqu'à l'ile de la Cité tous ces ponts sont chargés d'histoire pont royal pont du carrousel pont des arts pont neuf pont saint michel pont saint louis.Le zouave du pont de l'alma avait de l'eau bien au dessus de ses pieds on dit que lorsqu'il a les pieds dans l'eau c'est que la  seine est en crue cependant sa position actuelle due a la reconstruction du pont en 1970 et du déplacement de cette statue fait que la base du niveau de l'eau d'aujourd'hui et d'autrefois n'est pas lamême et de ce fait les scientifiques maintenant se basent sur l'échelle hydrométrique du pont d'Austerlizt pour déterminer l'importance de la crue,4.0
